State,Month,Unemployment,Unemployment_Change,COVID-19_Deaths,State_Population,Covid_Deaths_per_100k
Missouri,10,4.6,-0.3,1097,"6,154,913",17.82316013
Montana,10,4.9,-0.4,279,"1,084,225",25.73266619
Nebraska,10,3,-0.5,281,"1,961,504",14.32574188
Nevada,10,12,-0.6,179,"3,104,614",5.765612086
New Hampshire,10,4.2,-1.8,42,"1,377,529",3.048937627
New Jersey,10,8.2,1.5,274,"9,288,994",2.949727387
New Mexico,10,8.1,-1.3,160,"2,117,522",7.556001779
New York,10,9.6,-0.1,148,"20,201,249",0.732627968
North Carolina,10,6.3,-1,788,"10,439,388",7.548335209
North Dakota,10,4.8,0.4,314,"779,094",40.303224
Ohio,10,5.6,-2.8,980,"11,799,448",8.305473273
Oklahoma,10,6.1,0.8,597,"3,959,353",15.07822111
Oregon,10,6.9,-1.1,129,"4,237,256",3.044423089
Pennsylvania,10,7.3,-0.8,720,"13,002,700",5.537311481
Rhode Island,10,7,-3.5,97,"1,097,379",8.839243324
South Carolina,10,4.2,-0.9,492,"5,118,425",9.612331919
South Dakota,10,3.6,-0.5,265,"886,667",29.88720681
Tennessee,10,7.4,1.1,960,"6,910,840",13.89122017
Texas,10,6.9,-1.4,2852,"29,145,505",9.785385431
Utah,10,4.1,-0.9,181,"3,271,616",5.532434124
Vermont,10,3.2,-1,0,"643,077",0
Virginia,10,5.3,-0.9,482,"8,631,393",5.584266642
Washington,10,6,-1.8,239,"7,705,281",3.101768774
West Virginia,10,6.4,-2.2,130,"1,793,716",7.247524134
Wisconsin,10,5.7,0.3,984,"5,893,718",16.69574282
Wyoming,10,5.5,-0.6,71,"576,851",12.30820437
Alabama,11,4.4,-1.4,754,"5,024,279",15.00712839
Alaska,11,8.1,2.2,69,"733,391",9.408351071
Arizona,11,7.8,-0.2,855,"7,151,502",11.95553046
Arkansas,11,6.2,0,844,"3,011,524",28.02567736
California,11,8.2,-1.1,2543,"39,538,223",6.431750865
Colorado,11,6.4,0,1117,"5,773,714",19.34629945
Connecticut,11,8.2,2.1,494,"3,605,944",13.69960266
Delaware,11,5.1,-0.5,82,"989,948",8.283263363
Florida,11,6.4,-0.1,1760,"21,538,187",8.171532729
Georgia,11,5.7,1.2,978,"10,711,908",9.130026135
Hawaii,11,10.1,-4.2,30,"1,455,271",2.061471712
Idaho,11,4.8,-0.7,387,"1,839,106",21.04283277
Illinois,11,6.9,0.1,3323,"12,812,508",25.93559356
Indiana,11,5,0,2003,"6,785,528",29.5187051
Iowa,11,3.6,0,1514,"3,190,369",47.4553257
Kansas,11,5.6,0.3,898,"2,937,880",30.56625866
Kentucky,11,5.6,-1.8,1037,"4,505,836",23.01459707
Louisiana,11,8.3,-1.1,481,"4,657,757",10.32685904
Maine,11,5,-0.4,87,"1,362,359",6.385981962
Maryland,11,6.8,-1,635,"6,177,224",10.27969845
Massachusetts,11,6.7,-0.7,476,"7,029,917",6.771061451
Michigan,11,6.9,1.4,2098,"10,077,331",20.81900456
Minnesota,11,4.4,-0.2,1473,"5,706,494",25.8126969
Mississippi,11,6.4,-1,578,"2,961,279",19.51859315
Missouri,11,4.4,-0.2,2036,"6,154,913",33.0792653
Montana,11,4.9,0,406,"1,084,225",37.44610205
Nebraska,11,3.1,0.1,798,"1,961,504",40.68306769
Nevada,11,10.1,-1.9,523,"3,104,614",16.84589453
New Hampshire,11,3.8,-0.4,70,"1,377,529",5.081562711
New Jersey,11,10.2,2,933,"9,288,994",10.04414472
New Mexico,11,7.5,-0.6,779,"2,117,522",36.78828366
New York,11,8.4,-1.2,288,"20,201,249",1.425654424
North Carolina,11,6.2,-0.1,788,"10,439,388",7.548335209
North Dakota,11,4.5,-0.3,557,"779,094",71.49329863
Ohio,11,5.7,0.1,3032,"11,799,448",25.69611731
Oklahoma,11,5.9,-0.2,1229,"3,959,353",31.04042504
Oregon,11,6,-0.9,313,"4,237,256",7.386856022
Pennsylvania,11,6.6,-0.7,2558,"13,002,700",19.67283718
Rhode Island,11,7.3,0.3,200,"1,097,379",18.22524397
South Carolina,11,4.4,0.2,424,"5,118,425",8.283798239
South Dakota,11,3.5,-0.1,699,"886,667",78.83455683
Tennessee,11,5.3,-2.1,1581,"6,910,840",22.87710322
Texas,11,8.1,1.2,5183,"29,145,505",17.78318818
Utah,11,4.3,0.2,408,"3,271,616",12.47090123
Vermont,11,3.1,-0.1,16,"643,077",2.48803798
Virginia,11,4.9,-0.4,734,"8,631,393",8.503841732
Washington,11,6,0,471,"7,705,281",6.112690764
West Virginia,11,6.2,-0.2,307,"1,793,716",17.11530699
Wisconsin,11,5,-0.7,2112,"5,893,718",35.83476508
Wyoming,11,5.1,-0.4,163,"576,851",28.25686356
Alabama,12,3.9,-0.5,1719,"5,024,279",34.21386432
Alaska,12,5.8,-2.3,92,"733,391",12.54446809
Arizona,12,8,0.2,2993,"7,151,502",41.85134815
Arkansas,12,4.2,-2,1124,"3,011,524",37.32329545
California,12,9,0.8,12866,"39,538,223",32.54066325
Colorado,12,8,1.6,1675,"5,773,714",29.01078924
Connecticut,12,8,-0.2,1061,"3,605,944",29.42364052
Delaware,12,5.3,0.2,256,"989,948",25.85994416
Florida,12,6.1,-0.3,3130,"21,538,187",14.53232809
Georgia,12,5.6,-0.1,1851,"10,711,908",17.27983474
Hawaii,12,9,-1.1,34,"1,455,271",2.336334607
Idaho,12,4.4,-0.4,448,"1,839,106",24.35966171
Illinois,12,7.6,0.7,4153,"12,812,508",32.4136383
Indiana,12,4,-1,2779,"6,785,528",40.95480853
Iowa,12,3.1,-0.5,1271,"3,190,369",39.83865189
Kansas,12,3.8,-1.8,1328,"2,937,880",45.20266314
Kentucky,12,6,0.4,1599,"4,505,836",35.48731023
Louisiana,12,7.2,-1.1,1007,"4,657,757",21.61984835
Maine,12,4.9,-0.1,204,"1,362,359",14.97402667
Maryland,12,6,-0.8,1509,"6,177,224",24.42844877
Massachusetts,12,7.4,0.7,1335,"7,029,917",18.99026688
Michigan,12,7.5,0.6,3191,"10,077,331",31.66513038
Minnesota,12,4,-0.4,1756,"5,706,494",30.7719591
Mississippi,12,6.2,-0.2,1104,"2,961,279",37.2811883
Missouri,12,5.8,1.4,2309,"6,154,913",37.51474635
Montana,12,4,-0.9,374,"1,084,225",34.49468514
Nebraska,12,3,-0.1,621,"1,961,504",31.65937974
Nevada,12,9.2,-0.9,1228,"3,104,614",39.55403152
New Hampshire,12,4,0.2,276,"1,377,529",20.03587583
New Jersey,12,7.6,-2.6,2370,"9,288,994",25.51406536
New Mexico,12,8.2,0.7,979,"2,117,522",46.23328589
New York,12,8,-0.4,955,"20,201,249",4.727430467
North Carolina,12,6.2,0,165,"10,439,388",1.580552423
North Dakota,12,4.1,-0.4,349,"779,094",44.79562158
Ohio,12,6,0.3,5943,"11,799,448",50.36676292
Oklahoma,12,5.3,-0.6,1967,"3,959,353",49.67983405
Oregon,12,6.4,0.4,542,"4,237,256",12.79129701
Pennsylvania,12,7,0.4,6498,"13,002,700",49.97423612
Rhode Island,12,8.1,0.8,510,"1,097,379",46.47437212
South Carolina,12,4.6,0.2,1054,"5,118,425",20.59227204
South Dakota,12,3,-0.5,427,"886,667",48.15787663
Tennessee,12,6.4,1.1,2660,"6,910,840",38.49025589
Texas,12,7.2,-0.9,7439,"29,145,505",25.52366137
Utah,12,4,-0.3,517,"3,271,616",15.80258808
Vermont,12,3.1,0,66,"643,077",10.26315667
Virginia,12,4.9,0,1533,"8,631,393",17.76074847
Washington,12,7,1,901,"7,705,281",11.69327893
West Virginia,12,6.3,0.1,749,"1,793,716",41.75688905
Wisconsin,12,5.5,0.5,1765,"5,893,718",29.94714033
Wyoming,12,5,-0.1,183,"576,851",31.72396338
